CLASS_NAME	PERSON_FULL_NAME	BEGIN_HH_TIME	SECTION_END_DATE	AVAIL_SEAT	DAY_CODE	BLDG_CODE	BEGIN_MM_TIME	FK_CDI_INSTR_TYPE	FK_SPM_SPCL_MTG_CD	COUNT_ON_WAITLIST	END_HH_TIME	PRIMARY_INSTR_FLAG	LONG_DESC	END_MM_TIME	SECTION_START_DATE	STP_ENRLT_FLAG	SCTN_ENRLT_QTY	START_DATE	ROOM_CODE	SECTION_NUMBER	SECT_CODE	BEFORE_DESC	SCTN_CPCTY_QTY	FK_SST_SCTN_STATCD
ANBI 135	Non, Amy L	10	2017-12-08	0	2	SSRB 	30	LA	  	3	12	Y	                              	20	2017-09-28	Y	12	2017-09-28	339  	920603	B01	 	12	AC	
ANBI 135	Non, Amy L	9	2017-12-08	0	4	SSRB 	0	LA	  	3	10	Y	                              	50	2017-09-28	Y	12	2017-09-28	339  	920604	B02	 	12	AC	
ANBI 135	Non, Amy L	9	2017-12-08	20	2	SSB  	30	LE	  	0	10	Y	                              	20	2017-09-28	N	0	2017-09-28	269  	920602	B00	 	20	NC	
ANBI 135	Staff	0	2017-12-08	0	 	TBA	0	LE	TBA	0	0	 	                              	0	2017-09-28	N	0	 	TBA	913049	A00	NC                            	0	CA	
ANBI 135	Staff	0	2017-12-08	0	 	TBA	0	LA	TBA	3	0	 	                              	0	2017-09-28	Y	0	 	TBA	913050	A01	AC                            	0	CA	
ANBI 141	Schoeninger, Margaret J	14	2017-12-08	0	24	CSB  	0	LE	  	0	15	Y	                              	20	2017-09-28	N	48	2017-09-28	004  	913051	A00	 	48	AC	
ANBI 141	Schoeninger, Margaret J	15	2017-12-08	0	4	CSB  	0	LE	FI	0	17	Y	                              	59	2017-09-28	N	48	2017-12-14	004  	913051	A00	 	48	AC	
ANBI 145	Staff	8	2017-12-08	1	135	SOLIS	0	LE	  	0	8	 	                              	50	2017-09-28	N	27	2017-09-28	110  	918129	A00	 	28	AC	
ANBI 145	Staff	8	2017-12-08	1	1	SOLIS	0	LE	FI	0	10	 	                              	59	2017-09-28	N	27	2017-12-11	110  	918129	A00	 	28	AC	
ANBI 148	Lafleur, Marni M	12	2017-12-08	32	135	HSS  	0	LE	  	0	12	Y	                              	50	2017-09-28	N	0	2017-09-28	1305 	913052	A00	 	32	NC	
ANBI 148	Lafleur, Marni M	11	2017-12-08	32	4	HSS  	30	LE	FI	0	14	Y	                              	29	2017-09-28	N	0	2017-12-14	1305 	913052	A00	 	32	NC	
ANBI 148	Lafleur, Marni M	0	2017-12-08	9	 	TBA	0	LA	TBA	0	0	Y	                              	0	2017-09-28	N	23	 	TBA	913053	A01	 	32	AC	
ANES 223	Hertzka, Robert Ernest	0	2017-12-18	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2017-08-14	N	0	 	TBA	921133	A00	 	9999	AC	
ANES 227	Ahadian, Farshad	0	2017-12-18	2	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-08-14	N	0	 	TBA	921134	A00	 	2	AC	
ANES 229	Weinstein, Lawrence	0	2017-12-18	3	 	TBA	0	PR	TBA	0	0	Y	                              	0	2017-08-14	N	0	 	TBA	921136	A01	 	3	AC	
ANES 229	Weinstein, Lawrence	0	2017-12-18	3	 	TBA	0	LE	TBA	0	0	Y	                              	0	2017-08-14	N	0	 	TBA	921135	A00	 	3	NC	
ANES 296	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919502	001	 	9999	AC	
ANES 296	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919503	002	 	9999	AC	
ANES 296	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919504	003	 	9999	AC	
ANES 299	Patel, Piyush M	0	2017-12-18	9998	 	TBA	0	IN	TBA	0	0	Y	                              	0	2017-08-14	N	1	 	TBA	919505	001	 	9999	AC	
ANES 299	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919506	002	 	9999	AC	
ANES 299	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919507	003	 	9999	AC	
ANES 299	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919508	004	 	9999	AC	
ANES 401	Greenberg, Mark	0	2017-12-18	9996	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-08-14	N	3	 	TBA	919509	A00	 	9999	AC	
ANES 402	Polston, Gregory Robert	0	2017-12-18	9994	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-08-14	N	5	 	TBA	919511	A01	 	9999	AC	
ANES 402	Polston, Gregory Robert	0	2017-12-18	9999	 	TBA	0	LE	TBA	0	0	Y	                              	0	2017-08-14	N	0	 	TBA	919510	A00	 	9999	NC	
ANES 403	Meier, Angela	0	2017-12-18	9997	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-08-14	N	2	 	TBA	919512	A00	 	9999	AC	
ANES 410	Greenberg, Mark	0	2017-12-18	9994	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-08-14	N	5	 	TBA	919513	A00	 	9999	AC	
ANES 427	Doucet, Jay	0	2017-12-18	9999	 	TBA	0	CL	TBA	0	0	Y	                              	0	2017-08-14	N	0	 	TBA	919514	A00	 	9999	AC	
ANES 496	Lee, Daniel E.	0	2017-12-18	9998	 	TBA	0	IN	TBA	0	0	Y	                              	0	2017-08-14	N	1	 	TBA	919515	001	 	9999	AC	
ANES 496	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919516	002	 	9999	AC	
ANES 496	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919517	003	 	9999	AC	
ANES 496	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919518	004	 	9999	AC	
ANES 496	Staff	0	2017-12-18	9999	 	TBA	0	IN	TBA	0	0	 	                              	0	2017-08-14	N	0	 	TBA	919519	005	 	9999	AC	
ANSC 105	Staff	16	2017-12-08	9	135	PETER	0	LE	  	0	16	 	                              	50	2017-09-28	N	26	2017-09-28	103  	919421	B00	 	35	AC	
ANSC 105	Staff	0	2017-12-08	0	 	TBA	0	LE	TBA	0	0	 	                              	0	2017-09-28	N	0	 	TBA	913056	A00	AC                            	0	CA	
ANSC 121	Staff	13	2017-12-08	0	135	CSB  	0	LE	  	0	13	 	                              	50	2017-09-28	N	46	2017-09-28	005  	913057	A00	 	46	AC	
ANSC 121	Staff	11	2017-12-08	0	1	CSB  	30	LE	FI	0	14	 	                              	29	2017-09-28	N	46	2017-12-11	005  	913057	A00	 	46	AC	
ANSC 124	Bialecki, Jon Anthony	10	2017-12-08	5	135	TM102	0	LE	  	0	10	Y	                              	50	2017-09-28	N	30	2017-09-28	1    	917822	A00	 	35	AC	
ANSC 124	Bialecki, Jon Anthony	8	2017-12-08	5	5	TM102	0	LE	FI	0	10	Y	                              	59	2017-09-28	N	30	2017-12-15	1    	917822	A00	 	35	AC	
ANSC 129	Csordas, Thomas J.	11	2017-12-08	0	24	SSB  	0	LE	  	12	12	Y	                              	20	2017-09-28	Y	16	2017-09-28	269  	913059	A00	 	16	AC	
ANSC 129	Csordas, Thomas J.	11	2017-12-08	0	3	SSB  	30	LE	FI	12	14	Y	                              	29	2017-09-28	Y	16	2017-12-13	269  	913059	A00	 	16	AC	
ANSC 148	Staff	12	2017-12-08	12	24	PCYNH	30	LE	  	0	13	 	                              	50	2017-09-28	N	73	2017-09-28	109  	918137	A00	 	85	AC	
ANSC 148	Staff	11	2017-12-08	12	5	PCYNH	30	LE	FI	0	14	 	                              	29	2017-09-28	N	73	2017-12-15	109  	918137	A00	 	85	AC	
ANSC 177	Pedersen, David	12	2017-12-08	10	24	YORK 	30	LE	  	0	13	Y	                              	50	2017-09-28	N	15	2017-09-28	4050A	913061	A00	 	25	AC	
ANTH 2	Lafleur, Marni M	12	2017-12-08	0	1	WLH  	0	DI	  	0	12	Y	                              	50	2017-09-28	N	38	2017-09-28	2209 	913063	A01	 	38	AC	
ANTH 2	Lafleur, Marni M	13	2017-12-08	0	1	WLH  	0	DI	  	0	13	Y	                              	50	2017-09-28	N	38	2017-09-28	2209 	913064	A02	 	38	AC	
ANTH 2	Lafleur, Marni M	14	2017-12-08	0	3	WLH  	0	DI	  	0	14	Y	                              	50	2017-09-28	N	38	2017-09-28	2209 	913065	A03	 	38	AC	
ANTH 2	Lafleur, Marni M	15	2017-12-08	0	3	WLH  	0	DI	  	0	15	Y	                              	50	2017-09-28	N	38	2017-09-28	2209 	913066	A04	 	38	AC	
ANTH 2	Lafleur, Marni M	16	2017-12-08	0	3	WLH  	0	DI	  	0	16	Y	                              	50	2017-09-28	N	38	2017-09-28	2209 	913067	A05	 	38	AC	
ANTH 2	Lafleur, Marni M	9	2017-12-08	196	135	CENTR	0	LE	  	0	9	Y	                              	50	2017-09-28	N	0	2017-09-28	115  	913062	A00	 	196	NC	
ANTH 2	Lafleur, Marni M	8	2017-12-08	196	3	CENTR	0	LE	FI	0	10	Y	                              	59	2017-09-28	N	0	2017-12-13	115  	913062	A00	 	196	NC	
ANTH 21	Kang, Byung Chu	14	2017-12-08	0	1	HSS  	0	DI	  	5	14	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913069	A01	 	36	AC	
ANTH 21	Kang, Byung Chu	15	2017-12-08	0	1	HSS  	0	DI	  	2	15	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913070	A02	 	36	AC	
ANTH 21	Kang, Byung Chu	16	2017-12-08	0	1	HSS  	0	DI	  	3	16	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913071	A03	 	36	AC	
ANTH 21	Kang, Byung Chu	17	2017-12-08	0	1	HSS  	0	DI	  	4	17	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913072	A04	 	36	AC	
ANTH 21	Kang, Byung Chu	15	2017-12-08	0	3	HSS  	0	DI	  	3	15	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913073	A05	 	36	AC	
ANTH 21	Kang, Byung Chu	16	2017-12-08	0	3	HSS  	0	DI	  	5	16	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913074	A06	 	36	AC	
ANTH 21	Kang, Byung Chu	17	2017-12-08	0	3	HSS  	0	DI	  	4	17	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913075	A07	 	36	AC	
ANTH 21	Kang, Byung Chu	18	2017-12-08	0	3	HSS  	0	DI	  	4	18	Y	                              	50	2017-09-28	Y	36	2017-09-28	2154 	913076	A08	 	36	AC	
ANTH 21	Kang, Byung Chu	11	2017-12-08	288	24	CICC 	0	LE	  	0	12	Y	                              	20	2017-09-28	N	0	2017-09-28	101  	913068	A00	 	288	NC	
ANTH 21	Kang, Byung Chu	11	2017-12-08	288	3	CICC 	30	LE	FI	0	14	Y	                              	29	2017-09-28	N	0	2017-12-13	101  	913068	A00	 	288	NC	
ANTH 23	Stewart, Alexander B	10	2017-12-08	0	1	SEQUO	0	DI	  	0	10	Y	                              	50	2017-09-28	N	42	2017-09-28	147  	913078	A01	 	42	AC	
ANTH 23	Stewart, Alexander B	11	2017-12-08	0	1	HSS  	0	DI	  	0	11	Y	                              	50	2017-09-28	N	37	2017-09-28	2154 	913079	A02	 	37	AC	
ANTH 23	Stewart, Alexander B	12	2017-12-08	0	1	SEQUO	0	DI	  	0	12	Y	                              	50	2017-09-28	N	42	2017-09-28	147  	913080	A03	 	42	AC	
ANTH 23	Stewart, Alexander B	13	2017-12-08	0	1	SOLIS	0	DI	  	0	13	Y	                              	50	2017-09-28	N	42	2017-09-28	111  	913081	A04	 	42	AC	
ANTH 23	Stewart, Alexander B	15	2017-12-08	0	3	MANDE	0	DI	  	2	15	Y	                              	50	2017-09-28	Y	42	2017-09-28	B-104	913082	A05	 	42	AC	
ANTH 23	Stewart, Alexander B	16	2017-12-08	0	3	MANDE	0	DI	  	1	16	Y	                              	50	2017-09-28	Y	42	2017-09-28	B-104	913083	A06	 	42	AC	
ANTH 23	Stewart, Alexander B	17	2017-12-08	0	3	MANDE	0	DI	  	1	17	Y	                              	50	2017-09-28	Y	42	2017-09-28	B-104	913084	A07	 	42	AC	
ANTH 23	Stewart, Alexander B	18	2017-12-08	0	3	MANDE	0	DI	  	0	18	Y	                              	50	2017-09-28	N	42	2017-09-28	B-104	913085	A08	 	42	AC	
ANTH 23	Duzel, Esin	15	2017-12-08	0	1	WLH  	0	DI	  	0	15	Y	                              	50	2017-09-28	N	33	2017-09-28	2209 	917865	B01	 	33	AC	
ANTH 23	Duzel, Esin	16	2017-12-08	0	1	WLH  	0	DI	  	1	16	Y	                              	50	2017-09-28	Y	33	2017-09-28	2209 	917866	B02	 	33	AC	
ANTH 23	Duzel, Esin	9	2017-12-08	0	3	WLH  	0	DI	  	2	9	Y	                              	50	2017-09-28	Y	33	2017-09-28	2209 	917867	B03	 	33	AC	
ANTH 23	Duzel, Esin	10	2017-12-08	0	3	WLH  	0	DI	  	4	10	Y	                              	50	2017-09-28	Y	33	2017-09-28	2209 	917868	B04	 	33	AC	
ANTH 23	Duzel, Esin	13	2017-12-08	0	5	HSS  	0	DI	  	3	13	Y	                              	50	2017-09-28	Y	32	2017-09-28	1128A	917869	B05	 	32	AC	
ANTH 23	Duzel, Esin	14	2017-12-08	0	5	HSS  	0	DI	  	3	14	Y	                              	50	2017-09-28	Y	32	2017-09-28	1128A	917870	B06	 	32	AC	
ANTH 23	Stewart, Alexander B	14	2017-12-08	295	135	WLH  	0	LE	  	0	14	Y	                              	50	2017-09-28	N	0	2017-09-28	2001 	913077	A00	 	295	NC	
ANTH 23	Duzel, Esin	11	2017-12-08	196	24	CENTR	0	LE	  	0	12	Y	                              	20	2017-09-28	N	0	2017-09-28	119  	917864	B00	 	196	NC	
ANTH 23	Stewart, Alexander B	15	2017-12-08	295	3	WLH  	0	LE	FI	0	17	Y	                              	59	2017-09-28	N	0	2017-12-13	2001 	913077	A00	 	295	NC	
ANTH 23	Duzel, Esin	11	2017-12-08	196	3	CENTR	30	LE	FI	0	14	Y	                              	29	2017-09-28	N	0	2017-12-13	119  	917864	B00	 	196	NC	
ANTH 87	Kang, Byung Chu	16	2017-12-08	0	4	SSB  	0	SE	  	9	16	Y	Global Beauty                 	50	2017-09-28	Y	20	2017-09-28	269  	917781	A00	 	20	AC	
ANTH 87	Semendeferi, Ekaterini	12	2017-12-08	0	1	SSB  	0	SE	  	0	12	Y	Discover Anthropology         	50	2017-09-28	N	20	2017-09-28	105  	917782	B00	 	20	AC	
ANTH 101	Goldstein, Paul S	12	2017-12-08	0	1	MANDE	0	DI	  	0	12	Y	                              	50	2017-09-28	N	39	2017-09-28	B-104	913096	A01	 	39	AC	
ANTH 101	Goldstein, Paul S	15	2017-12-08	0	3	HSS  	0	DI	  	1	15	Y	                              	50	2017-09-28	Y	40	2017-09-28	1128A	913097	A02	 	40	AC	
ANTH 101	Goldstein, Paul S	9	2017-12-08	0	5	MANDE	0	DI	  	0	9	Y	                              	50	2017-09-28	N	37	2017-09-28	B-104	913098	A03	 	37	AC	
ANTH 101	Goldstein, Paul S	10	2017-12-08	1	3	SEQUO	0	DI	  	0	10	Y	                              	50	2017-09-28	N	29	2017-09-28	147  	923536	A04	 	30	AC	
ANTH 101	Goldstein, Paul S	12	2017-12-08	120	24	CENTR	30	LE	  	0	13	Y	                              	50	2017-09-28	N	0	2017-09-28	212  	913095	A00	 	120	NC	
ANTH 101	Goldstein, Paul S	11	2017-12-08	120	5	CENTR	30	LE	FI	0	14	Y	                              	29	2017-09-28	N	0	2017-12-15	212  	913095	A00	 	120	NC	
ANTH 196A	Semendeferi, Ekaterini	10	2017-12-08	3	3	SSB  	0	SE	  	0	12	Y	                              	50	2017-09-28	N	12	2017-09-28	105  	913099	A00	 	15	AC	
ANTH 199	Non, Amy L	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	921032	001	 	9999	AC	
ANTH 208	Kang, Byung Chu	15	2017-12-08	3	2	SSB  	0	SE	  	0	17	Y	                              	50	2017-09-28	N	11	2017-09-28	269  	918156	A00	 	14	AC	
ANTH 230	Rivera-Collazo, Isabel C	15	2017-12-08	2	1	SSB  	0	SE	  	0	16	Y	                              	50	2017-09-28	N	18	2017-09-28	269  	913100	A00	 	20	AC	
ANTH 270	Rivera-Collazo, Isabel C	12	2017-12-08	4	2	SSB  	30	SE	  	0	15	Y	                              	20	2017-09-28	N	6	2017-09-28	105  	918164	A00	 	10	AC	
ANTH 280A	Pedersen, David	10	2017-12-08	10	3	SSB  	0	SE	  	0	12	Y	                              	50	2017-09-28	N	10	2017-09-28	269  	913101	A00	 	20	AC	
ANTH 280C	Parish, Steven Martin	12	2017-12-08	11	4	SSRB 	30	SE	  	0	15	Y	                              	20	2017-09-28	N	9	2017-09-28	331  	913102	A00	 	20	AC	
ANTH 281A	Parish, Steven Martin	13	2017-12-08	9	3	SSB  	0	SE	  	0	15	Y	                              	50	2017-09-28	N	11	2017-09-28	105  	913103	A00	 	20	AC	
ANTH 284	Postero, Nancy Grey	9	2017-12-08	9	1	SSB  	0	PR	  	0	11	Y	                              	50	2017-09-28	N	1	2017-09-28	105  	928142	A00	 	10	AC	
ANTH 285	Algaze, Guillermo	9	2017-12-08	2	2	SSB  	30	PR	  	0	12	Y	                              	20	2017-09-28	N	10	2017-09-28	105  	913104	A00	 	12	AC	
ANTH 295	Algaze, Guillermo	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913105	001	 	9999	AC	
ANTH 295	Braswell, Geoffrey E.	0	2017-12-08	9998	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913106	002	 	9999	AC	
ANTH 295	Brenner, Suzanne A	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913107	003	 	9999	AC	
ANTH 295	Csordas, Thomas J.	0	2017-12-08	9998	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913108	004	 	9999	AC	
ANTH 295	Goldstein, Paul S	0	2017-12-08	9998	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913109	005	 	9999	AC	
ANTH 295	Hankins, Joseph D.	0	2017-12-08	9998	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913110	006	 	9999	AC	
ANTH 295	Haviland, John B.	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913111	007	 	9999	AC	
ANTH 295	Jenkins, Janis A.	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913112	008	 	9999	AC	
ANTH 295	Levy, Thomas E	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913113	009	 	9999	AC	
ANTH 295	Parish, Steven Martin	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913114	010	 	9999	AC	
ANTH 295	Pedersen, David	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913116	011	 	9999	AC	
ANTH 295	Postero, Nancy Grey	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913117	012	 	9999	AC	
ANTH 295	Schoeninger, Margaret J	0	2017-12-08	9998	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913118	013	 	9999	AC	
ANTH 295	Semendeferi, Ekaterini	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913119	014	 	9999	AC	
ANTH 295	Strum, Shirley C.	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913120	015	 	9999	AC	
ANTH 295	Woolard, Kathryn A	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913121	016	 	9999	AC	
ANTH 295	Varma, Saiba	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913122	017	 	9999	AC	
ANTH 295	Non, Amy L	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913123	018	 	9999	AC	
ANTH 295	Kang, Byung Chu	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913124	019	 	9999	AC	
ANTH 295	Rivera-Collazo, Isabel C	0	2017-12-08	9998	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913125	020	 	9999	AC	
ANTH 295	D'Alpoim Guedes, Jade A	0	2017-12-08	9999	 	TBA	0	SE	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913127	021	 	9999	AC	
ANTH 296	Algaze, Guillermo	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913128	001	 	9999	AC	
ANTH 296	Braswell, Geoffrey E.	0	2017-12-08	9998	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913129	002	 	9999	AC	
ANTH 296	Brenner, Suzanne A	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913130	003	 	9999	AC	
ANTH 296	Csordas, Thomas J.	0	2017-12-08	9998	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913131	004	 	9999	AC	
ANTH 296	Goldstein, Paul S	0	2017-12-08	9998	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913132	005	 	9999	AC	
ANTH 296	Hankins, Joseph D.	0	2017-12-08	9998	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913133	006	 	9999	AC	
ANTH 296	Haviland, John B.	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913134	007	 	9999	AC	
ANTH 296	Jenkins, Janis A.	0	2017-12-08	9998	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	1	 	TBA	913135	008	 	9999	AC	
ANTH 296	Levy, Thomas E	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913136	009	 	9999	AC	
ANTH 296	Parish, Steven Martin	0	2017-12-08	9996	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	3	 	TBA	913137	010	 	9999	AC	
ANTH 296	Pedersen, David	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913139	011	 	9999	AC	
ANTH 296	Postero, Nancy Grey	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913140	012	 	9999	AC	
ANTH 296	Schoeninger, Margaret J	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913141	013	 	9999	AC	
ANTH 296	Semendeferi, Ekaterini	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913142	014	 	9999	AC	
ANTH 296	Strum, Shirley C.	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913143	015	 	9999	AC	
ANTH 296	Woolard, Kathryn A	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913144	016	 	9999	AC	
ANTH 296	Varma, Saiba	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913145	017	 	9999	AC	
ANTH 296	Non, Amy L	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913146	018	 	9999	AC	
ANTH 296	Kang, Byung Chu	0	2017-12-08	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2017-09-28	N	0	 	TBA	913147	019	 	9999	AC	
